molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd,Protein_Weight,Protein_Aromaticity,Protein_Instability,Protein_Isoelectric,Protein_Helix_Frac,Protein_Turn_Frac,Protein_Sheet_Frac,Protein_Hydrophobicity
CHEMBL183489,CHEMBL206,CA III,IC50,C[C@@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,0.7,nM,463.59900000000016,5.928000000000007,2,6,62.16000000000001,5,0.4725965032536288,1056.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183344,CHEMBL206,CA III,IC50,C[C@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,0.8,nM,463.59900000000016,5.928000000000007,2,6,62.16000000000001,5,0.4725965032536288,1056.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183388,CHEMBL206,CA III,IC50,CC[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,0.9,nM,477.6260000000002,6.175600000000008,2,6,62.16000000000001,5,0.4239812064951543,1072.0261051757684,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL2113027,CHEMBL206,CA III,IC50,CC[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1.1,nM,477.6260000000002,6.175600000000008,2,6,62.16000000000001,5,0.4239812064951543,1072.0261051757684,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL361601,CHEMBL206,CA III,IC50,CC(C)[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,0.4,nM,491.6530000000002,6.421600000000009,2,6,62.16000000000001,5,0.3975802429391912,1101.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL427324,CHEMBL206,CA III,IC50,CC(C)[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,0.3,nM,491.6530000000002,6.421600000000009,2,6,62.16000000000001,5,0.3975802429391912,1101.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL182887,CHEMBL206,CA III,IC50,CC1(C)CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1.0,nM,477.6260000000002,6.175600000000008,2,6,62.16000000000001,5,0.442344099643908,1099.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183371,CHEMBL206,CA III,IC50,CC1(C)CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,0.9,nM,477.62600000000015,6.318100000000008,2,6,62.16000000000001,5,0.4333064526525088,1099.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL367574,CHEMBL206,CA III,IC50,C[C@@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@@H]1C,0.7,nM,477.6260000000002,6.031500000000007,2,6,62.16000000000001,5,0.451915705488344,1077.8871603997088,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL434346,CHEMBL206,CA III,IC50,CN(C)c1cccc(N2CCc3cc(O)ccc3C2c2ccc(OCCN3CCCCC3)cc2)c1,70.96,nM,471.6450000000004,5.475000000000006,1,5,39.18,5,0.4944024552352412,1097.1371603997088,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL367350,CHEMBL206,CA III,IC50,CC[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.5,nM,477.62600000000026,6.318100000000008,2,6,62.16,5,0.415318736534833,1066.0261051757686,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL369545,CHEMBL206,CA III,IC50,CC[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.7,nM,477.62600000000026,6.318100000000008,2,6,62.16,5,0.415318736534833,1066.0261051757686,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183263,CHEMBL206,CA III,IC50,CC(C)[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.7,nM,491.6530000000003,6.564100000000009,2,6,62.16,5,0.3900604871397643,1095.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL182794,CHEMBL206,CA III,IC50,CC(C)[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.5,nM,491.6530000000003,6.564100000000009,2,6,62.16,5,0.3900604871397643,1095.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL179852,CHEMBL206,CA III,IC50,CC(C)(COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.7,nM,477.62600000000026,6.318100000000008,2,6,62.16,5,0.4333064526525088,1093.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL181944,CHEMBL206,CA III,IC50,C[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,2.5,nM,463.59900000000016,5.928000000000007,2,6,62.16000000000001,5,0.4725965032536288,1050.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183044,CHEMBL206,CA III,IC50,C[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,6.3,nM,463.59900000000016,5.928000000000007,2,6,62.16000000000001,5,0.4725965032536288,1050.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183092,CHEMBL206,CA III,IC50,CC[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,0.8,nM,477.62600000000015,6.318100000000008,2,6,62.16000000000001,5,0.415318736534833,1066.0261051757686,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183086,CHEMBL206,CA III,IC50,CC[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,1.2,nM,477.62600000000015,6.318100000000008,2,6,62.16000000000001,5,0.415318736534833,1066.0261051757686,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL367588,CHEMBL206,CA III,IC50,Oc1ccc(-c2cc3cc(O)ccc3o2)cc1,176.0,nM,226.231,3.511000000000001,2,3,53.6,3,0.6671474444213955,654.0711003634627,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183782,CHEMBL206,CA III,IC50,Oc1ccc(-c2cc3cc(O)cc(Br)c3o2)cc1,1.5,nM,305.127,4.273500000000001,2,3,53.6,3,0.7055245298968755,696.7315568727014,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL182850,CHEMBL206,CA III,IC50,Oc1cc(Br)c2oc(-c3ccc(O)c(F)c3)cc2c1,12.0,nM,323.117,4.412600000000002,2,3,53.60000000000001,3,0.6972177962729076,757.0495130513217,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL361226,CHEMBL206,CA III,IC50,COc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,483.0,nM,256.257,3.5196000000000005,2,4,62.83,3,0.7359721218757088,711.6281669286055,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183033,CHEMBL206,CA III,IC50,COc1cc(O)cc2cc(-c3ccc(O)c(F)c3)oc12,990.0,nM,274.247,3.658700000000001,2,4,62.83,3,0.7482212784485404,772.0778012744829,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL433944,CHEMBL206,CA III,IC50,COc1cc(O)c(Br)c2cc(-c3ccc(O)cc3)oc12,21.0,nM,335.1530000000001,4.282100000000002,2,4,62.83,3,0.7336343697218994,754.8278012744829,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL362272,CHEMBL206,CA III,IC50,COc1cc(O)c(Br)c2cc(-c3ccc(O)c(F)c3)oc12,335.0,nM,353.1430000000001,4.4212000000000025,2,4,62.83,3,0.7159557586422848,815.6608600295813,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL184367,CHEMBL206,CA III,IC50,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCCC3CC4)cc2)cc1,0.6,nM,489.6370000000004,6.460600000000007,2,6,62.16,6,0.4143185606103577,1119.660762524176,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL184360,CHEMBL206,CA III,IC50,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCCC3CCC4)cc2)cc1,0.6,nM,503.6640000000005,6.850700000000007,2,6,62.16,6,0.383559056573469,1129.6476324977173,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
