molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd
CHEMBL210908,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CN(CC1CCCCC1)CC2,0.35,nM,370.58100000000024,4.879800000000005,0,3,15.71,4,0.6363053816891104,559.4010844485958,0
CHEMBL378072,CHEMBL264,CA IV,Ki,CCN1CCc2ccc(OCCCN3CCCCC3)cc2C1,0.34,nM,302.462,3.3194000000000017,0,3,15.71,3,0.7498151327697234,453.1061566327445,0
CHEMBL209057,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CNCC2,0.6,nM,274.408,2.5871000000000004,1,3,24.5,3,0.8353265422820187,412.0465289172486,0
CHEMBL377099,CHEMBL264,CA IV,Ki,O=C(c1cccs1)N1CCc2cc(OCCCN3CCCCC3)ccc2C1,2.1,nM,384.5450000000002,4.201400000000004,0,4,32.78,4,0.6999112980706862,727.4037328946092,0
CHEMBL210410,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCc2cc(OCCCN3CCCCC3)ccc2C1,7.4,nM,414.5710000000003,3.6884000000000032,0,4,49.85,4,0.6486462708678401,878.8904836311343,1
CHEMBL212222,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CCN(CC1CCCCC1)C2,1.01,nM,370.5810000000002,4.879800000000005,0,3,15.71,4,0.6363053816891105,559.4010844485958,0
CHEMBL211351,CHEMBL264,CA IV,Ki,CCN1CCc2cc(OCCCN3CCCCC3)ccc2C1,0.54,nM,302.46199999999993,3.3194000000000017,0,3,15.71,3,0.7498151327697234,453.1061566327445,0
CHEMBL209238,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CCNC2,2.4,Kg,274.4079999999999,2.5871000000000004,1,3,24.5,3,0.8353265422820187,412.0465289172486,0
CHEMBL209362,CHEMBL264,CA IV,Ki,O=C(c1cccs1)N1CCc2c(cccc2OCCCN2CCCCC2)C1,300.0,nM,384.54500000000036,4.201400000000003,0,4,32.78,4,0.6999112980706861,727.4037328946093,0
CHEMBL209589,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCc2c(cccc2OCCCN2CCCCC2)C1,300.0,nM,414.57100000000037,3.6884000000000023,0,4,49.85,4,0.6486462708678401,878.8904836311343,1
CHEMBL379741,CHEMBL264,CA IV,Ki,c1cc2c(c(OCCCN3CCCCC3)c1)CCN(CC1CCCCC1)C2,15.4,nM,370.5810000000002,4.879800000000005,0,3,15.71,4,0.6363053816891105,559.4010844485958,0
CHEMBL211738,CHEMBL264,CA IV,Ki,CCN1CCc2c(cccc2OCCCN2CCCCC2)C1,84.2,nM,302.4620000000001,3.3194000000000017,0,3,15.71,3,0.7498151327697234,453.1061566327445,0
CHEMBL209188,CHEMBL264,CA IV,Ki,c1cc2c(c(OCCCN3CCCCC3)c1)CCNC2,300.0,nM,274.4079999999999,2.5871000000000004,1,3,24.5,3,0.8353265422820187,412.0465289172486,0
CHEMBL209478,CHEMBL264,CA IV,Ki,CN(C)Cc1ccc(-c2ccc(CN(C)C)cc2)cc1,1.862,nM,268.404,3.4768000000000026,0,2,6.48,2,0.8189428926246165,463.46969799903,0
CHEMBL379545,CHEMBL264,CA IV,Ki,CCCCCNCc1ccc(-c2ccc(CNCCCCC)cc2)cc1,758.58,nM,352.56600000000014,5.913200000000006,2,2,24.06,2,0.43766752265646086,520.9403048640203,0
CHEMBL380101,CHEMBL264,CA IV,Ki,c1cc(-c2ccc(CN3CCCCC3)cc2)ccc1CN1CCCCC1,0.3388,nM,348.5340000000002,5.3254000000000055,0,2,6.48,4,0.7208306337146085,590.689427855885,0
CHEMBL214269,CHEMBL264,CA IV,Ki,CC1CCN(Cc2ccc(-c3ccc(CN4CCC(C)CC4)cc3)cc2)CC1,6.166,nM,376.58800000000014,5.817400000000006,0,2,6.48,4,0.6488219712520845,642.1385569005645,0
CHEMBL212869,CHEMBL264,CA IV,Ki,CC1CC(C)CN(Cc2ccc(-c3ccc(CN4CC(C)CC(C)C4)cc3)cc2)C1,398.11,nM,404.6420000000002,6.309400000000007,0,2,6.48,4,0.5760354922339008,694.292952807726,0
CHEMBL214390,CHEMBL264,CA IV,Ki,CC(=O)N1CCN(Cc2ccc(-c3ccc(CN4CCN(C(C)=O)CC4)cc3)cc2)CC1,1412.54,nM,434.5840000000003,2.681800000000001,0,4,47.10000000000001,4,0.7260789636229849,804.5594265166653,0
CHEMBL213085,CHEMBL264,CA IV,Ki,c1cc(-c2ccc(CN3CCOCC3)cc2)ccc1CN1CCOCC1,12.3,nM,352.4780000000002,3.0180000000000016,0,4,24.94,4,0.8258386143007241,590.689427855885,0
CHEMBL447846,CHEMBL264,CA IV,Ki,c1cc(-c2ccc(CNC3CCCCC3)cc2)ccc1CNC1CCCCC1,562.34,nM,376.5880000000002,6.198200000000005,2,2,24.06,4,0.601121460054909,618.3230989192235,0
CHEMBL212775,CHEMBL264,CA IV,Ki,CN(Cc1ccc(-c2ccc(CN(C)C3CCCCC3)cc2)cc1)C1CCCCC1,37.15,nM,404.64200000000017,6.882600000000008,0,2,6.48,4,0.495954813559627,674.1302493010207,0
CHEMBL211370,CHEMBL264,CA IV,Ki,O=C1CCCCN1Cc1ccc(-c2ccc(CN3CCCCC3)cc2)cc1,46.77,nM,362.51700000000017,4.852000000000005,0,2,23.550000000000004,4,0.7588235358059386,728.6127076208166,0
CHEMBL211439,CHEMBL264,CA IV,Ki,CC(=O)N1CCN(Cc2ccc(-c3ccc(CN4CCCCC4)cc3)cc2)CC1,6.31,nM,391.55900000000025,4.003600000000003,0,3,26.790000000000006,4,0.7706834646108389,765.7929528077259,0
CHEMBL211486,CHEMBL264,CA IV,Ki,c1cc(-c2ccc(CN3CCCCC3)cc2)ccc1CNC1CCCCC1,1.698,nM,362.5610000000002,5.761800000000005,1,2,15.27,4,0.7024160925447179,666.9831792819193,0
CHEMBL378178,CHEMBL264,CA IV,Ki,c1cc(-c2ccc(CCN3CCCCC3)cc2)ccc1CCN1CCCCC1,1.175,nM,376.58800000000025,5.410400000000005,0,2,6.48,4,0.6373133736729816,618.3230989192235,0
CHEMBL434601,CHEMBL264,CA IV,Ki,c1cc(CN2CCCCC2)ccc1CN1CCCCC1,1230.27,nM,272.43600000000004,3.658400000000003,0,2,6.48,3,0.825123650238911,338.00426679468546,0
CHEMBL119918,CHEMBL264,CA IV,Ki,NCc1ccc(-c2ccc(CN)cc2)cc1,4466.84,nM,212.29599999999996,2.271,2,2,52.04,2,0.8196472086418389,388.9694559572399,0
CHEMBL376954,CHEMBL264,CA IV,Ki,Clc1ccc(CNC[C@@H]2C[C@@H]2c2c[nH]cn2)cc1,88.0,nM,261.75600000000003,2.9564000000000004,2,2,40.71,3,0.8688599599489839,475.2666791116522,0
CHEMBL214312,CHEMBL264,CA IV,Ki,c1nc([C@H]2C[C@@H]2CCNCC2CCCCC2)c[nH]1,5.3,nM,247.38599999999994,3.073200000000001,2,2,40.71,3,0.7584720548596293,328.9301005382784,0
CHEMBL214311,CHEMBL264,CA IV,Ki,Clc1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1,3.6,nM,275.783,3.3465000000000016,2,2,40.71,3,0.7940258964788846,489.34439732913114,0
CHEMBL214156,CHEMBL264,CA IV,Ki,c1nc([C@H]2C[C@@H]2CNCC2CCCCC2)c[nH]1,289.0,nM,233.35899999999995,2.6831000000000005,2,2,40.71,3,0.8206325331284299,315.81732641053827,0
CHEMBL209598,CHEMBL264,CA IV,Ki,Clc1ccc(CNC[C@H]2C[C@@H]2c2c[nH]cn2)cc1,203.0,nM,261.75600000000003,2.9564000000000004,2,2,40.71,3,0.8688599599489839,475.2666791116522,0
